AGC PS5 Stage 62 - A4 Value Flow Disassembly


/mnt/d/agc_work/stage62_results/agc_stage62_lu3s3994.bin:     file format binary


Disassembly of section .data:

0000000000000160 <.data>:
 160:	55                   	push   %rbp
 161:	48 89 e5             	mov    %rsp,%rbp
 164:	48 8d 05 9d a7 01 00 	lea    0x1a79d(%rip),%rax        # 0x1a908
 16b:	83 b8 a0 00 00 00 00 	cmpl   $0x0,0xa0(%rax)
 172:	74 24                	je     0x198
 174:	48 8b 0d 65 3f 01 00 	mov    0x13f65(%rip),%rcx        # 0x140e0
 17b:	48 8d 3d bf f5 00 00 	lea    0xf5bf(%rip),%rdi        # 0xf741
 182:	be 30 00 00 00       	mov    $0x30,%esi
 187:	ba 01 00 00 00       	mov    $0x1,%edx
 18c:	e8 df a9 00 00       	call   0xab70
 191:	b8 06 00 6d 8a       	mov    $0x8a6d0006,%eax
 196:	5d                   	pop    %rbp
 197:	c3                   	ret
 198:	48 8d 15 61 0e 00 00 	lea    0xe61(%rip),%rdx        # 0x1000
 19f:	48 b9 78 00 00 00 0e 	movabs $0x1000e00000078,%rcx
 1a6:	00 01 00 
 1a9:	c5 f8 57 c0          	vxorps %xmm0,%xmm0,%xmm0
 1ad:	c5 fc 11 80 80 00 00 	vmovups %ymm0,0x80(%rax)
 1b4:	00 
 1b5:	c5 fc 11 40 30       	vmovups %ymm0,0x30(%rax)
 1ba:	c5 fc 11 40 50       	vmovups %ymm0,0x50(%rax)
 1bf:	c5 fc 11 40 70       	vmovups %ymm0,0x70(%rax)
 1c4:	48 8d 35 f5 3a 00 00 	lea    0x3af5(%rip),%rsi        # 0x3cc0
 1cb:	c5 f8 57 c0          	vxorps %xmm0,%xmm0,%xmm0
 1cf:	48 89 48 28          	mov    %rcx,0x28(%rax)
 1d3:	c6 40 35 ff          	movb   $0xff,0x35(%rax)
 1d7:	48 89 50 50          	mov    %rdx,0x50(%rax)
 1db:	48 8d 15 4e 18 00 00 	lea    0x184e(%rip),%rdx        # 0x1a30
 1e2:	48 89 70 58          	mov    %rsi,0x58(%rax)
 1e6:	48 8d 35 f3 65 00 00 	lea    0x65f3(%rip),%rsi        # 0x67e0
 1ed:	48 89 50 68          	mov    %rdx,0x68(%rax)
 1f1:	48 8d 15 18 66 00 00 	lea    0x6618(%rip),%rdx        # 0x6810
 1f8:	48 89 b0 80 00 00 00 	mov    %rsi,0x80(%rax)
 1ff:	48 89 90 88 00 00 00 	mov    %rdx,0x88(%rax)
 206:	c7 80 a0 00 00 00 01 	movl   $0x1,0xa0(%rax)
 20d:	00 00 00 
 210:	c5 f8 11 80 a4 00 00 	vmovups %xmm0,0xa4(%rax)
 217:	00 
 218:	31 c0                	xor    %eax,%eax
 21a:	5d                   	pop    %rbp
 21b:	c3                   	ret
 21c:	cc                   	int3
 21d:	cc                   	int3
 21e:	cc                   	int3
 21f:	cc                   	int3

